id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,retake,passed_year1,year1_overall
1,3,2,3,3,3,3,2,0,0,0,0,46,2,0,False,True,3
2,4,4,4,5,3,4,3,0,0,0,0,6,0,0,False,True,3
3,3,3,2,2,2,3,3,0,0,0,0,70,2,0,False,True,3
4,2,4,2,2,2,2,2,0,0,0,0,129,10,1,False,True,2
5,4,4,3,4,4,4,5,5,1,0,0,2,0,0,False,True,4
6,4,2,3,4,4,3,4,0,0,0,0,6,0,0,False,True,4
7,5,5,4,4,4,4,5,0,0,0,0,1,0,0,False,True,4
8,4,4,3,3,4,3,3,1,1,0,0,11,1,0,False,True,3
9,5,3,5,5,4,5,5,2,0,0,0,0,0,0,False,True,5
10,5,5,4,4,5,5,4,3,0,0,0,3,0,0,False,True,5
11,3,4,3,4,3,3,3,0,0,0,0,28,0,0,False,True,3
12,4,3,3,4,3,3,4,0,0,0,0,44,1,0,False,True,3
13,4,4,4,4,4,4,4,0,0,0,0,11,0,0,False,True,4
14,3,5,4,3,3,3,3,0,0,0,0,25,2,0,False,True,3
15,3,4,3,3,3,2,3,0,0,0,0,44,1,0,False,True,3
16,5,4,5,4,4,5,4,1,0,0,0,0,0,0,False,True,4
17,4,5,2,4,3,3,4,1,0,0,0,13,0,0,False,True,3
18,5,5,4,5,5,4,5,2,1,0,0,1,0,0,False,True,5
19,5,5,5,4,5,5,5,6,1,0,0,0,0,0,False,True,5
20,2,2,2,2,2,2,2,0,0,0,0,143,16,1,False,True,2
21,3,5,3,3,3,3,2,0,0,0,0,10,0,0,False,True,3
22,5,5,3,4,4,3,4,0,0,0,0,5,0,0,False,True,4
23,5,3,4,4,4,4,5,1,0,0,0,2,0,0,False,True,4
24,2,2,2,3,2,2,3,0,0,0,0,70,8,0,False,True,2
25,2,2,2,2,2,1,2,0,0,0,0,160,20,2,True,False,2
26,4,4,4,4,4,4,3,2,0,0,0,4,0,0,False,True,4
27,2,2,2,3,2,2,3,0,0,0,0,34,1,0,False,True,2
28,2,2,3,3,2,2,3,0,0,0,0,98,4,0,False,True,2
29,3,2,4,4,3,3,4,0,0,0,0,27,0,0,False,True,3
30,4,3,4,4,3,4,4,0,0,0,0,22,2,0,False,True,4
31,5,5,5,5,5,5,5,7,2,1,0,1,0,0,False,True,5
32,2,2,2,3,2,2,2,0,0,0,0,146,5,0,False,True,2
33,3,4,4,4,3,3,3,0,0,0,0,39,1,0,False,True,3
34,2,2,2,2,2,2,2,0,0,0,0,118,13,1,False,True,2
35,2,3,2,2,2,2,2,0,0,0,0,115,11,1,False,True,2
36,3,2,3,3,3,2,2,0,0,0,0,10,0,0,False,True,2
37,3,2,2,2,2,2,2,0,0,0,0,125,13,1,False,True,2
38,3,2,2,3,2,2,2,0,0,0,0,86,8,0,False,True,2
39,3,3,4,4,3,3,3,0,0,0,0,130,7,0,False,True,3
40,4,3,4,4,3,4,3,1,0,0,0,3,0,0,False,True,3
41,3,4,3,3,4,3,3,0,0,0,0,10,0,0,False,True,3
42,3,2,4,4,3,3,3,1,0,0,0,9,0,0,False,True,3
43,3,2,3,3,3,2,4,0,0,0,0,74,3,0,False,True,3
44,4,2,3,4,3,4,4,0,0,0,0,3,0,0,False,True,4
45,3,2,3,3,2,4,2,0,0,0,0,142,12,1,False,True,3
46,3,2,3,3,3,3,3,0,0,0,0,4,0,0,False,True,3
47,5,3,4,5,4,4,4,0,0,0,0,5,0,0,False,True,4
48,4,2,3,4,3,3,4,0,0,0,0,66,4,0,False,True,3
49,4,4,4,5,4,4,4,0,0,0,0,9,0,0,False,True,4
50,5,4,4,4,4,5,4,0,0,0,0,0,0,0,False,True,4
51,3,3,2,3,3,3,3,0,0,0,0,54,1,0,False,True,3
52,3,3,3,3,4,2,2,0,0,0,0,42,2,0,False,True,3
53,3,3,2,3,3,2,5,0,0,0,0,14,0,0,False,True,3
54,5,5,5,4,5,5,5,4,1,1,1,1,0,0,False,True,5
55,4,4,4,4,4,4,5,1,0,0,0,2,0,0,False,True,4
56,4,3,4,5,4,4,4,0,0,0,0,0,0,0,False,True,4
57,5,5,5,5,5,4,5,8,3,2,2,0,0,0,False,True,5
58,4,4,4,5,4,3,4,0,0,0,0,4,0,0,False,True,4
59,2,2,2,2,2,2,2,0,0,0,0,81,3,0,False,True,2
60,5,5,4,5,5,5,5,7,1,0,0,1,0,0,False,True,5
61,3,3,3,3,3,4,3,0,0,0,0,1,0,0,False,True,3
62,4,3,3,4,4,3,3,0,0,0,0,21,0,0,False,True,3
63,5,4,5,5,5,4,5,5,0,0,0,1,0,0,False,True,5
64,3,2,3,3,2,3,3,0,0,0,0,80,2,0,False,True,3
65,2,2,3,3,1,2,2,0,0,0,0,139,20,2,True,False,2
66,3,2,3,4,2,3,3,0,0,0,0,34,1,0,False,True,3
67,2,3,2,2,3,2,2,0,0,0,0,114,12,1,True,True,2
68,3,3,3,4,2,3,3,1,0,0,0,37,0,0,False,True,3
69,5,5,4,5,5,4,5,2,0,0,0,0,0,0,False,True,5
70,2,2,2,2,2,2,2,0,0,0,0,88,5,0,True,True,2
71,3,3,2,2,3,3,2,0,0,0,0,55,1,0,False,True,3
72,5,5,4,5,5,4,4,0,0,0,0,1,0,0,False,True,4
73,3,2,3,3,2,2,3,0,0,0,0,47,0,0,False,True,2
74,5,3,4,4,5,4,5,4,1,1,1,0,0,0,False,True,5
75,4,4,4,5,3,4,5,0,0,0,0,18,0,0,False,True,4
76,5,5,4,4,4,4,3,1,0,0,0,9,0,0,False,True,4
77,2,2,2,2,1,2,2,0,0,0,0,148,19,1,True,False,2
78,5,4,3,4,5,4,4,3,0,0,0,4,0,0,False,True,4
79,3,2,2,3,2,2,3,0,0,0,0,33,0,0,False,True,2
80,3,2,4,4,3,3,3,0,0,0,0,12,0,0,False,True,3
81,3,3,3,2,2,3,3,0,0,0,0,44,2,0,False,True,3
82,3,4,3,4,3,3,3,0,0,0,0,8,0,0,False,True,3
83,3,3,3,2,4,3,3,0,0,0,0,12,0,0,False,True,3
84,5,4,4,5,5,5,5,3,1,1,0,2,0,0,False,True,5
85,4,5,3,4,4,4,4,3,1,0,0,0,0,0,False,True,4
86,3,4,2,2,3,2,3,0,0,0,0,67,3,0,False,True,3
87,5,5,5,5,5,4,4,0,0,0,0,0,0,0,False,True,4
88,4,4,3,3,4,4,3,1,0,0,0,15,0,0,False,True,4
89,3,2,3,3,3,3,3,0,0,0,0,28,1,0,False,True,3
90,3,2,3,4,2,2,3,0,0,0,0,111,10,1,False,True,2
91,3,3,3,4,3,3,2,0,0,0,0,77,4,0,False,True,3
92,4,4,3,3,4,3,3,0,0,0,0,10,0,0,False,True,3
93,2,2,2,2,2,2,2,0,0,0,0,147,25,2,False,True,2
94,4,4,3,4,3,4,4,0,0,0,0,3,0,0,False,True,4
