id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,mat2,slo2,ang2,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,retake,passed_year2,year2_overall
1,3,2,3,3,3,3,2,3,3,3,0,0,0,0,20,0,0,False,True,3.0
2,4,4,4,5,3,4,3,3,4,3,2,0,0,0,13,0,0,False,True,3.34
3,3,3,2,2,2,3,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
4,2,4,2,2,2,2,2,2,2,3,0,0,0,0,72,7,0,True,True,2.37
5,4,4,3,4,4,4,5,4,4,4,1,0,0,0,4,0,0,False,True,3.92
6,4,2,3,4,4,3,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
7,5,5,4,4,4,4,5,4,4,4,1,0,0,0,6,0,0,False,True,3.92
8,4,4,3,3,4,3,3,4,3,3,0,0,0,0,13,0,0,False,True,3.3
9,5,3,5,5,4,5,5,5,5,5,8,2,2,0,0,0,0,False,True,5.0
10,5,5,4,4,5,5,4,5,5,5,5,3,2,0,0,0,0,False,True,5.0
11,3,4,3,4,3,3,3,3,3,3,0,0,0,0,36,2,0,False,True,2.99
12,4,3,3,4,3,3,4,3,3,3,0,0,0,0,21,0,0,False,True,3.0
13,4,4,4,4,4,4,4,4,4,4,0,0,0,0,3,0,0,False,True,3.9
14,3,5,4,3,3,3,3,3,3,3,0,0,0,0,37,0,0,False,True,3.0
15,3,4,3,3,3,2,3,3,3,3,0,0,0,0,25,1,0,False,True,3.0
16,5,4,5,4,4,5,4,4,5,4,1,0,0,0,5,0,0,False,True,4.22
17,4,5,2,4,3,3,4,3,3,3,0,0,0,0,33,2,0,False,True,2.99
18,5,5,4,5,5,4,5,5,5,5,8,2,1,0,1,0,0,False,True,5.0
19,5,5,5,4,5,5,5,5,5,5,3,2,0,0,1,0,0,False,True,4.92
20,2,2,2,2,2,2,2,2,2,2,0,0,0,0,108,10,1,False,True,2.0
21,3,5,3,3,3,3,2,3,3,3,1,0,0,0,26,0,0,False,True,3.02
22,5,5,3,4,4,3,4,4,4,4,0,0,0,0,11,0,0,False,True,3.9
23,5,3,4,4,4,4,5,4,4,5,1,1,0,0,2,0,0,False,True,4.25
24,2,2,2,3,2,2,3,2,2,2,0,0,0,0,80,6,0,False,True,2.07
25,2,2,2,2,2,2,2,3,2,2,0,0,0,0,57,3,0,True,True,2.39
26,4,4,4,4,4,4,3,4,4,4,2,0,0,0,5,0,0,False,True,3.94
27,2,2,2,3,2,2,3,2,2,2,0,0,0,0,107,8,0,False,True,2.06
28,2,2,3,3,2,2,3,2,2,2,0,0,0,0,88,2,0,False,True,2.09
29,3,2,4,4,3,3,4,3,3,3,0,0,0,0,33,1,0,False,True,3.0
30,4,3,4,4,3,4,4,4,4,4,0,0,0,0,5,0,0,False,True,3.9
31,5,5,5,5,5,5,5,5,5,5,4,2,1,1,0,0,0,False,True,5.0
32,2,2,2,3,2,2,2,3,3,2,0,0,0,0,69,0,0,True,True,2.7
33,3,4,4,4,3,3,3,3,3,3,0,0,0,0,26,1,0,False,True,3.0
34,2,2,2,2,2,2,2,2,2,3,0,0,0,0,76,6,0,True,True,2.37
35,2,3,2,2,2,2,2,1,2,2,0,0,0,0,163,9,0,True,False,1.75
36,3,2,3,3,3,2,2,2,2,2,0,0,0,0,102,6,0,False,True,2.07
37,3,2,2,2,2,2,2,3,2,2,0,0,0,0,75,0,0,True,True,2.4
38,3,2,2,3,2,2,2,2,2,2,0,0,0,0,112,4,0,False,True,2.08
39,3,3,4,4,3,3,3,3,3,3,0,0,0,0,23,2,0,False,True,2.99
40,4,3,4,4,3,4,3,3,4,3,0,0,0,0,12,0,0,False,True,3.3
41,3,4,3,3,4,3,3,4,3,3,0,0,0,0,14,0,0,False,True,3.3
42,3,2,4,4,3,3,3,3,3,2,0,0,0,0,42,0,0,True,True,2.7
43,3,2,3,3,3,2,4,3,3,3,0,0,0,0,32,1,0,False,True,3.0
44,4,2,3,4,3,4,4,4,4,4,2,0,0,0,4,0,0,False,True,3.94
45,3,2,3,3,2,4,2,3,3,3,0,0,0,0,30,3,0,False,True,2.99
46,3,2,3,3,3,3,3,3,3,3,0,0,0,0,18,1,0,False,True,3.0
47,5,3,4,5,4,4,4,4,4,4,1,0,0,0,2,0,0,False,True,3.92
48,4,2,3,4,3,3,4,3,3,4,0,0,0,0,15,1,0,False,True,3.29
49,4,4,4,5,4,4,4,4,4,4,1,0,0,0,9,0,0,False,True,3.92
50,5,4,4,4,4,5,4,4,4,4,1,0,0,0,2,0,0,False,True,3.92
51,3,3,2,3,3,3,3,3,3,3,0,0,0,0,18,0,0,False,True,3.0
52,3,3,3,3,4,2,2,3,3,3,0,0,0,0,26,1,0,False,True,3.0
