id,grade9,mat9,slo9,ang9,mat1,slo1,ang1,mat2,slo2,ang2,mat3,slo3,ang3,num_of_comp,num_of_awards,num_of_national_comp,num_of_national_awards,all_missed_hours,all_unexcused_hours,num_of_VU,ponavljanje,passed_year3,year3_overall
1,3,4,3,3,3,2,3,3,2,2,3,3,2,0,0,0,0,33,0,0,True,True,2.7
2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,58,2,0,False,True,2.09
3,3,3,3,4,2,4,2,3,3,3,3,3,3,0,0,0,0,19,0,0,False,True,3.0
4,3,2,2,3,3,2,2,2,2,2,2,2,2,0,0,0,0,72,3,0,True,True,2.08
5,4,4,4,4,3,3,4,3,3,4,3,3,3,0,0,0,0,11,1,0,False,True,3.0
6,5,5,4,5,5,4,4,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
7,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,0,0,1,0,0,False,True,5.0
8,3,4,3,3,3,4,2,3,3,3,3,3,4,0,0,0,0,19,1,0,True,True,3.29
9,5,4,4,5,4,4,5,4,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
10,4,4,3,4,3,4,3,3,3,3,3,3,3,0,0,0,0,27,0,0,False,True,3.0
11,5,4,4,4,5,4,4,4,4,4,4,4,4,1,0,0,0,3,0,0,False,True,3.92
12,4,4,4,4,4,3,3,4,3,3,4,4,3,1,1,0,0,16,1,0,False,True,3.65
13,5,5,5,5,4,4,5,4,4,4,4,4,4,2,0,0,0,4,0,0,False,True,3.94
14,4,3,5,5,4,4,4,4,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
15,3,3,3,4,2,2,2,2,2,2,2,2,2,0,0,0,0,67,2,0,False,True,2.09
16,3,3,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0,68,6,0,False,True,2.07
17,3,3,2,3,2,2,3,2,2,2,2,2,2,0,0,0,0,56,3,0,False,True,2.08
18,3,3,2,3,3,2,3,3,3,3,3,3,3,0,0,0,0,21,1,0,False,True,3.0
19,4,3,3,3,3,4,3,3,3,3,3,3,3,0,0,0,0,21,0,0,False,True,3.0
20,5,4,4,4,4,4,3,4,4,4,4,4,4,0,0,0,0,4,0,0,False,True,3.9
21,5,4,5,5,5,4,5,5,5,5,5,5,5,7,4,0,0,0,0,0,False,True,5.0
22,4,4,3,4,4,3,3,3,3,3,3,3,3,0,0,0,0,33,0,0,False,True,3.0
23,3,3,3,2,3,3,2,3,3,2,3,3,3,0,0,0,0,24,2,0,False,True,2.99
24,5,4,5,5,4,5,4,4,4,4,4,4,4,1,0,0,0,8,0,0,False,True,3.92
25,4,4,5,4,4,4,3,4,3,4,4,3,4,0,0,0,0,11,0,0,False,True,3.6
26,2,2,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0,54,3,0,True,True,2.08
27,4,4,4,4,3,3,4,3,3,4,3,3,4,0,0,0,0,11,0,0,False,True,3.3
28,3,4,3,3,3,4,3,3,3,3,3,3,3,0,0,0,0,30,0,0,False,True,3.0
29,3,4,3,3,2,2,4,2,2,4,3,2,3,1,0,0,0,26,1,0,True,True,2.71
30,3,3,3,4,3,2,2,2,2,2,2,2,2,1,0,0,0,72,1,0,False,True,2.12
31,3,4,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,21,1,0,False,True,3.02
32,5,5,5,5,5,4,5,5,5,5,5,5,5,8,6,4,2,0,0,0,False,True,5.0
33,3,3,4,3,3,3,4,3,3,3,3,2,3,0,0,0,0,24,1,0,True,True,2.69
34,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,3,3,0,0,0,False,True,5.0
35,5,5,5,5,4,5,5,5,5,5,5,5,5,7,1,0,0,0,0,0,False,True,4.97
36,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,69,4,0,True,True,2.08
37,3,4,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,17,1,0,False,True,3.02
38,4,4,4,5,5,3,4,4,4,4,4,4,4,0,0,0,0,6,0,0,False,True,3.9
39,3,3,2,3,2,2,3,2,2,2,2,2,2,0,0,0,0,75,4,0,False,True,2.08
40,5,5,4,5,5,4,5,5,5,5,5,5,5,8,5,3,2,0,0,0,False,True,5.0
41,4,3,4,4,5,3,3,4,4,4,4,4,4,2,1,0,0,2,0,0,False,True,3.97
42,4,3,4,4,4,3,2,3,3,3,3,3,3,1,0,0,0,18,0,0,False,True,3.02
43,3,2,3,3,2,2,3,2,2,2,2,2,2,0,0,0,0,75,1,0,False,True,2.1
44,5,5,5,5,5,4,4,4,4,4,4,4,4,2,1,0,0,5,0,0,False,True,3.97
45,5,5,5,4,5,5,5,5,5,5,5,5,5,9,6,3,2,0,0,0,False,True,5.0
46,3,3,3,3,2,2,3,2,2,2,2,2,2,0,0,0,0,60,2,0,False,True,2.09
47,5,4,5,5,3,5,4,4,4,4,4,4,4,0,0,0,0,9,0,0,False,True,3.9
48,3,4,3,3,4,2,2,3,2,2,3,2,2,0,0,0,0,62,3,0,True,True,2.39
49,4,4,3,4,3,2,4,3,3,3,3,3,3,0,0,0,0,23,0,0,False,True,3.0
50,5,5,4,4,5,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,False,True,3.92
51,3,4,3,3,4,2,3,3,2,3,3,2,3,0,0,0,0,19,0,0,True,True,2.7
52,4,3,4,4,3,4,3,3,3,3,3,3,3,1,0,0,0,24,0,0,False,True,3.02
53,5,5,5,5,5,5,4,5,5,5,5,5,5,8,7,4,2,0,0,0,False,True,5.0
54,3,3,3,3,5,3,4,4,4,4,4,4,4,0,0,0,0,6,0,0,False,True,3.9
55,3,3,2,2,3,2,3,3,3,3,3,3,3,1,1,0,0,22,1,0,False,True,3.05
56,4,4,4,4,3,4,3,3,3,3,3,3,3,0,0,0,0,25,0,0,False,True,3.0
57,4,5,4,4,4,4,3,4,4,4,4,4,4,1,0,0,0,4,0,0,False,True,3.92
58,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,7,0,0,False,True,3.9
59,3,3,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,71,3,0,False,True,2.08
60,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,65,3,0,False,True,2.08
61,4,4,4,4,3,3,3,3,3,3,3,3,3,0,0,0,0,26,0,0,False,True,3.0
